wavelength flux
4436.880801172448 103.27238
4439.489985344407 52.02436
4442.099169516366 115.91791
4444.708353688325 85.692566
4447.317537860284 100.86691
4449.926722032243 98.45651
4452.535906204202 72.60887
4455.145090376161 62.41371
4457.754274548119 80.128746
4460.363458720078 64.75462
4462.972642892037 62.92787
4465.581827063996 89.40978
4468.191011235955 75.21112
4470.800195407914 111.34912
4473.409379579873 181.81392
4476.018563751832 168.54535
4478.627747923791 83.88018
4481.23693209575 57.499287
4483.846116267709 66.3276
4486.455300439668 76.811646
4489.0644846116265 73.132614
4491.6736687835855 87.49106
4494.2828529555445 81.76271
4496.8920371275035 51.874077
4499.5012212994625 82.492165
4502.1104054714215 100.09429
4504.7195896433805 80.50988
4507.328773815339 74.13994
4509.937957987298 83.38251
4512.547142159257 88.334274
4515.156326331216 69.94261
4517.765510503175 93.94951
4520.374694675134 79.297424
4522.983878847093 61.192257
4525.593063019052 89.12722
4528.202247191011 62.425556
4530.81143136297 80.23567
4533.420615534929 74.873566
4536.029799706888 76.19569
4538.638983878847 78.782104
4541.248168050806 59.587273
4543.857352222765 62.38968
4546.466536394724 74.18139
4549.075720566683 77.56005
4551.684904738642 85.390686
4554.294088910601 56.05454
4556.90327308256 61.847736
4559.512457254519 71.32419
4562.121641426478 81.49519
4564.730825598437 76.81454
4567.340009770396 75.79146
4569.949193942355 53.21108
4572.558378114314 78.81881
4575.167562286273 78.05942
4577.776746458232 52.37749
4580.385930630191 71.039215
4582.99511480215 77.79146
4585.604298974108 81.501495
4588.213483146067 75.0875
4590.822667318026 63.35555
4593.431851489985 85.523224
4596.041035661944 81.78926
4598.650219833903 67.01035
4601.259404005862 75.24655
4603.868588177821 85.157074
4606.47777234978 70.49614
4609.086956521739 76.467545
4611.696140693698 70.11516
4614.305324865657 83.30541
4616.914509037616 76.12234
4619.523693209575 71.06081
4622.132877381534 86.54239
4624.742061553493 84.43408
4627.351245725452 60.944023
4629.960429897411 93.4801
4632.56961406937 76.07404
4635.178798241329 67.873566
4637.787982413288 67.43095
4640.397166585247 80.83312
4643.006350757206 62.47627
4645.615534929165 73.73164
4648.224719101124 75.08635
4650.833903273083 73.696526
4653.443087445042 64.788795
4656.052271617001 89.78798
4658.66145578896 70.023796
4661.270639960919 76.93031
4663.879824132877 48.304993
4666.489008304836 78.227356
4669.098192476795 85.03864
4671.707376648754 70.681755
4674.316560820713 67.60779
4676.925744992672 88.65913
4679.534929164631 66.51136
4682.14411333659 79.16441
4684.753297508549 83.1767
4687.362481680508 76.92716
4689.971665852467 93.37907
4692.580850024426 99.8247
4695.190034196385 62.23098
4697.799218368344 69.10417
4700.408402540303 74.69927
4703.017586712262 95.11083
4705.626770884221 65.80646
4708.23595505618 74.13949
4710.845139228139 95.539536
4713.454323400098 80.360985
4716.063507572057 90.33615
4718.6726917440155 95.039
4721.2818759159745 82.16147
4723.8910600879335 65.48787
4726.5002442598925 76.78887
4729.1094284318515 71.23935
4731.7186126038105 73.437515
4734.3277967757695 67.61363
4736.936980947728 76.64237
4739.546165119687 89.66381
4742.155349291646 87.35452
4744.764533463605 93.694374
4747.373717635564 65.32605
4749.982901807523 86.43339
4752.592085979482 73.6044
4755.201270151441 71.61125
4757.8104543234 72.53911
4760.419638495359 52.671276
4763.028822667318 63.00572
4765.638006839277 67.11135
4768.247191011236 78.13775
4770.856375183195 78.30972
4773.465559355154 74.64551
4776.074743527113 67.313805
4778.683927699072 62.09944
4781.293111871031 67.37303
4783.90229604299 73.97598
4786.511480214949 80.11713
4789.120664386908 84.261406
4791.729848558867 60.690556
4794.339032730826 61.73272
4796.948216902785 92.52862
4799.557401074743 69.72215
4802.166585246702 75.19528
4804.775769418661 51.234978
4807.38495359062 68.13841
4809.994137762579 67.85316
4812.603321934538 81.98588
4815.212506106497 66.05108
4817.821690278456 69.228065
4820.430874450415 69.17846
4823.040058622374 79.26174
4825.649242794333 76.48161
4828.258426966292 59.90939
4830.867611138251 79.73924
4833.47679531021 96.185974
4836.085979482169 89.671135
4838.695163654128 93.54447
4841.304347826087 86.327
4843.913531998046 68.67954
4846.522716170005 101.592415
4849.131900341964 71.95775
4851.741084513923 79.43604
4854.350268685882 59.410164
4856.959452857841 58.99669
4859.5686370298 747.3755
4862.177821201759 2589.0088
4864.787005373718 2668.8127
4867.396189545677 1298.2098
4870.005373717636 7.0611596
4872.614557889595 91.04222
4875.223742061554 71.88904
4877.832926233512 92.87097
4880.442110405471 61.17718
4883.05129457743 55.38987
4885.660478749389 66.275185
